AI TYPE,COMBAT TYPE, ENEMY, VICTORIES, DEFEATS, WIN%, DAMAGE DONE, DAMAGE RECEIVED, DPS, STAMINA USED, ROUND LENGTH, AB1%, AB2%, AB3%, AB4%
AbilityOne,Single,MeleeEnemy,5,0,100,200,0,17.51225,70, 11.42058,100,0,0,0,
AbilityTwo,Single,MeleeEnemy,5,0,100,200,99.2,7.112407,70, 28.11988,0,100,0,0,
AbilityThree,Single,MeleeEnemy,0,5,0,0,1000,0,50, 100.5643,0,0,100,0,
AbilityFour,Single,MeleeEnemy,5,0,100,210,0,4.344129,84, 48.34111,0,0,0,100,
AbilityRandom,Single,MeleeEnemy,5,0,100,200,0,20.79009,75, 9.619967,62.54546,17.81818,9.818182,9.818182,
AbilitySmart,Single,MeleeEnemy,5,0,100,210,0,17.12897,86, 12.25993,63.76623,17.4026,8.701299,10.12987,
AbilityOne,Group,MeleeEnemy,5,0,100,600,133.6,20.21565,210, 29.67997,100,0,0,0,
AbilityTwo,Group,MeleeEnemy,0,5,0,350,1000,6.86796,120, 50.96127,0,100,0,0,
AbilityThree,Group,MeleeEnemy,0,5,0,0,1000,0,25, 51.02127,0,0,100,0,
AbilityFour,Group,MeleeEnemy,5,0,100,600,555.2,7.098633,140, 84.52332,0,0,0,100,
AbilityRandom,Group,MeleeEnemy,5,0,100,600,308,15.43983,198, 38.86053,63.73333,15.46667,8.4,12.4,
AbilitySmart,Group,MeleeEnemy,5,0,100,620,294.4,18.13913,205, 34.18024,66.24709,14.73193,7.365967,11.65501,
AbilityOne,Single,SniperEnemy,5,0,100,200,178,13.2627,70, 15.07988,100,0,0,0,
AbilityTwo,Single,SniperEnemy,5,0,100,200,395,6.570298,70, 30.44002,0,100,0,0,
AbilityThree,Single,SniperEnemy,0,5,0,0,1000,0,44, 84.1833,0,0,100,0,
AbilityFour,Single,SniperEnemy,5,0,100,200,236,4.293596,80, 46.581,0,0,0,100,
AbilityRandom,Single,SniperEnemy,5,0,100,210,84,10.40644,85, 20.17981,49.57576,20.9697,10.48485,18.9697,
AbilitySmart,Single,SniperEnemy,5,0,100,210,78,16.45778,80, 12.75992,59.66667,19.33333,9.666666,11.33333,
AbilityOne,Group,SniperEnemy,0,5,0,480,1000,14.3454,166, 33.4602,100,0,0,0,
AbilityTwo,Group,SniperEnemy,0,5,0,150,1000,5.738386,50, 26.13976,0,100,0,0,
AbilityThree,Group,SniperEnemy,0,5,0,0,1000,0,15, 30.40001,0,0,100,0,
AbilityFour,Group,SniperEnemy,2,3,40,540,1196,7.603225,124, 71.02249,0,0,0,100,
AbilityRandom,Group,SniperEnemy,5,0,100,620,880,9.98037,208, 62.12195,44.07504,19.69986,13.45214,22.77297,
AbilitySmart,Group,SniperEnemy,5,0,100,620,850,10.15031,207, 61.08189,50.71962,15.79187,11.36771,22.12079,
AbilityOne,Single,EliteEnemy,5,0,100,350,212,17.27559,120, 20.25981,100,0,0,0,
AbilityTwo,Single,EliteEnemy,5,0,100,350,577,7.142689,120, 49.00115,0,100,0,0,
AbilityThree,Single,EliteEnemy,0,5,0,0,1000,0,50, 96.30403,0,0,100,0,
AbilityFour,Single,EliteEnemy,5,0,100,360,508,4.47967,144, 80.36306,0,0,0,100,
AbilityRandom,Single,EliteEnemy,5,0,100,360,106,22.58488,138, 15.93987,62.22223,16.19048,10.79365,10.79365,
AbilitySmart,Single,EliteEnemy,5,0,100,360,82,27.3558,142, 13.15991,63.85965,15.48872,10.32582,10.32582,
AbilityOne,Group,EliteEnemy,0,5,0,545,1000,16.48509,185, 33.06018,100,0,0,0,
AbilityTwo,Group,EliteEnemy,0,5,0,192,1000,6.408547,64, 29.95999,0,100,0,0,
AbilityThree,Group,EliteEnemy,0,5,0,0,1000,0,20, 34.82029,0,0,100,0,
AbilityFour,Group,EliteEnemy,0,5,0,440,1000,9.896341,88, 44.46087,0,0,0,100,
AbilityRandom,Group,EliteEnemy,5,0,100,1050,1043,13.8737,350, 75.68278,54.5993,18.35075,10.13937,16.91057,
AbilitySmart,Group,EliteEnemy,5,0,100,1070,779,17.59236,354, 60.82187,63.74704,13.98099,8.745521,13.52644,
